Run:Fill,LS,UTCTime,Beam Status,E(GeV),Delivered(/ub),Recorded(/ub),avgPU
251721:3996,21:21,07/14/15 09:47:01,STABLE BEAMS,6500.,29256.12459,28758.77047,21.13451
251721:3996,22:22,07/14/15 09:47:24,STABLE BEAMS,6500.,29239.59780,28742.52464,21.12257
251721:3996,23:23,07/14/15 09:47:48,STABLE BEAMS,6500.,29229.50457,28732.60299,21.11528
251721:3996,24:24,07/14/15 09:48:11,STABLE BEAMS,6500.,29219.59782,28722.86466,21.10812
251721:3996,25:25,07/14/15 09:48:34,STABLE BEAMS,6500.,29207.56986,28711.04117,21.09943
251721:3996,26:26,07/14/15 09:48:58,STABLE BEAMS,6500.,29193.79365,28697.49916,21.08948
251721:3996,27:27,07/14/15 09:49:21,STABLE BEAMS,6500.,29186.52093,28690.35007,21.08423
251721:3996,28:28,07/14/15 09:49:44,STABLE BEAMS,6500.,29171.43936,28646.35345,21.07333
251721:3996,29:29,07/14/15 09:50:08,STABLE BEAMS,6500.,29160.36711,28664.64087,21.06533
251721:3996,30:30,07/14/15 09:50:31,STABLE BEAMS,6500.,29149.57458,28654.03181,21.05754
251721:3996,31:31,07/14/15 09:50:54,STABLE BEAMS,6500.,29134.72611,28639.43577,21.04681
251721:3996,32:32,07/14/15 09:51:18,STABLE BEAMS,6500.,29126.94057,28631.78258,21.04119
251721:3996,33:33,07/14/15 09:51:41,STABLE BEAMS,6500.,29108.43243,28613.58908,21.02782
251721:3996,34:34,07/14/15 09:52:04,STABLE BEAMS,6500.,29099.48139,28604.79021,21.02135
251721:3996,35:35,07/14/15 09:52:27,STABLE BEAMS,6500.,29086.96392,28592.48553,21.01231
251721:3996,36:36,07/14/15 09:52:51,STABLE BEAMS,6500.,29075.35554,28581.07450,21.00392
251721:3996,123:123,07/14/15 10:26:39,STABLE BEAMS,6500.,1759.85838,1722.90135,1.27131
251721:3996,124:124,07/14/15 10:27:02,STABLE BEAMS,6500.,1762.35255,1725.34315,1.27312
251721:3996,125:125,07/14/15 10:27:26,STABLE BEAMS,6500.,1759.34556,1722.39930,1.27094
251721:3996,126:126,07/14/15 10:27:49,STABLE BEAMS,6500.,1763.72784,1726.68956,1.27411
251721:3996,127:127,07/14/15 10:28:12,STABLE BEAMS,6500.,1761.83973,1724.84110,1.27275
251721:3996,128:128,07/14/15 10:28:35,STABLE BEAMS,6500.,1746.24534,1709.57419,1.26148
251721:3996,129:129,07/14/15 10:28:59,STABLE BEAMS,6500.,1744.56702,1706.18655,1.26027
251721:3996,130:130,07/14/15 10:29:22,STABLE BEAMS,6500.,1746.45513,1709.77957,1.26163
251721:3996,131:131,07/14/15 10:29:45,STABLE BEAMS,6500.,1756.85139,1718.20066,1.26914
251721:3996,132:132,07/14/15 10:30:09,STABLE BEAMS,6500.,1749.25233,1710.76878,1.26365
251721:3996,133:133,07/14/15 10:30:32,STABLE BEAMS,6500.,1745.96562,1707.55438,1.26128
251721:3996,134:134,07/14/15 10:30:55,STABLE BEAMS,6500.,1745.35956,1708.70701,1.26084
251721:3996,135:135,07/14/15 10:31:19,STABLE BEAMS,6500.,1753.33158,1714.75829,1.26660
251721:3996,136:136,07/14/15 10:31:42,STABLE BEAMS,6500.,1784.14740,1746.68030,1.28886
251721:3996,137:137,07/14/15 10:32:05,STABLE BEAMS,6500.,1785.10311,1747.61594,1.28955
251721:3996,138:138,07/14/15 10:32:29,STABLE BEAMS,6500.,1785.61593,1748.11800,1.28992
251721:3996,139:139,07/14/15 10:32:52,STABLE BEAMS,6500.,1789.55532,1750.18510,1.29277
251721:3996,140:140,07/14/15 10:33:15,STABLE BEAMS,6500.,1788.52968,1750.97056,1.29203
251721:3996,141:141,07/14/15 10:33:38,STABLE BEAMS,6500.,1790.93061,1751.53014,1.29376
251721:3996,142:142,07/14/15 10:34:02,STABLE BEAMS,6500.,1795.28958,1753.99792,1.29691
251721:3996,143:143,07/14/15 10:34:25,STABLE BEAMS,6500.,1794.28725,1754.81293,1.29619
251721:3996,144:144,07/14/15 10:34:48,STABLE BEAMS,6500.,1796.78142,1757.25223,1.29799
251721:3996,145:145,07/14/15 10:35:12,STABLE BEAMS,6500.,1796.43177,1756.91027,1.29774
251721:3996,146:146,07/14/15 10:35:35,STABLE BEAMS,6500.,1800.25461,1762.44926,1.30050
251721:3996,147:147,07/14/15 10:35:58,STABLE BEAMS,6500.,1795.12641,1755.63363,1.29679
251721:3996,148:148,07/14/15 10:36:22,STABLE BEAMS,6500.,1760.11479,1723.15238,1.27150
251721:3996,149:149,07/14/15 10:36:45,STABLE BEAMS,6500.,1778.08680,1738.96889,1.28448
251721:3996,150:150,07/14/15 10:37:08,STABLE BEAMS,6500.,1771.32690,1732.35771,1.27960
251721:3996,151:151,07/14/15 10:37:32,STABLE BEAMS,6500.,1771.11711,1732.15253,1.27945
251721:3996,152:152,07/14/15 10:37:55,STABLE BEAMS,6500.,1772.77212,1733.77113,1.28064
251721:3996,153:153,07/14/15 10:38:18,STABLE BEAMS,6500.,1789.41546,1750.04832,1.29267
251721:3996,154:154,07/14/15 10:38:42,STABLE BEAMS,6500.,1787.78376,1750.24030,1.29149
251721:3996,155:155,07/14/15 10:39:05,STABLE BEAMS,6500.,1778.45976,1716.21367,1.28475
251721:3996,156:156,07/14/15 10:39:28,STABLE BEAMS,6500.,1782.18936,1744.76338,1.28745
251721:3996,157:157,07/14/15 10:39:51,STABLE BEAMS,6500.,1792.88865,1755.23799,1.29518
251721:3996,158:158,07/14/15 10:40:15,STABLE BEAMS,6500.,1804.38048,1764.68411,1.30348
251721:3996,159:159,07/14/15 10:40:38,STABLE BEAMS,6500.,1765.35954,1728.28699,1.27529
251721:3996,160:160,07/14/15 10:41:01,STABLE BEAMS,6500.,1783.02852,1743.80189,1.28805
251721:3996,161:161,07/14/15 10:41:25,STABLE BEAMS,6500.,1785.77910,1746.49196,1.29004
251721:3996,162:162,07/14/15 10:41:48,STABLE BEAMS,6500.,1790.88399,1751.48454,1.29373
251721:3996,163:163,07/14/15 10:42:11,STABLE BEAMS,6500.,1816.78140,1776.81221,1.31244
251721:3996,164:164,07/14/15 10:42:35,STABLE BEAMS,6500.,1816.52499,1776.56144,1.31225
251721:3996,165:165,07/14/15 10:42:58,STABLE BEAMS,6500.,1813.51800,1775.43412,1.31008
251721:3996,166:166,07/14/15 10:43:21,STABLE BEAMS,6500.,1810.81404,1770.97613,1.30812
251721:3996,167:167,07/14/15 10:43:45,STABLE BEAMS,6500.,1799.08911,1759.50915,1.29965
251721:3996,168:168,07/14/15 10:44:08,STABLE BEAMS,6500.,1811.76975,1771.91082,1.30882
251721:3996,169:169,07/14/15 10:44:31,STABLE BEAMS,6500.,1836.92124,1796.50897,1.32698
251721:3996,170:170,07/14/15 10:44:54,STABLE BEAMS,6500.,1813.79772,1772.08037,1.31028
251721:3996,171:171,07/14/15 10:45:18,STABLE BEAMS,6500.,1839.04245,1798.58352,1.32852
251721:3996,172:172,07/14/15 10:45:41,STABLE BEAMS,6500.,1832.56227,1794.07846,1.32384
251721:3996,173:173,07/14/15 10:46:04,STABLE BEAMS,6500.,1820.39445,1782.16617,1.31505
251721:3996,174:174,07/14/15 10:46:28,STABLE BEAMS,6500.,1820.53431,1780.48256,1.31515
251721:3996,175:175,07/14/15 10:46:51,STABLE BEAMS,6500.,1831.60656,1791.31122,1.32315
251721:3996,176:176,07/14/15 10:47:14,STABLE BEAMS,6500.,1852.42239,1811.66910,1.33818
251721:3996,177:177,07/14/15 10:47:38,STABLE BEAMS,6500.,1860.67413,1819.73930,1.34414
251721:3996,178:178,07/14/15 10:48:01,STABLE BEAMS,6500.,1858.76271,1817.86993,1.34276
251721:3996,179:179,07/14/15 10:48:24,STABLE BEAMS,6500.,1838.01681,1797.58044,1.32778
251721:3996,180:180,07/14/15 10:48:48,STABLE BEAMS,6500.,1844.61354,1802.18743,1.33254
251721:3996,181:181,07/14/15 10:49:11,STABLE BEAMS,6500.,1867.45734,1826.37328,1.34904
251721:3996,182:182,07/14/15 10:49:34,STABLE BEAMS,6500.,1865.52261,1824.48111,1.34765
251721:3996,183:183,07/14/15 10:49:58,STABLE BEAMS,6500.,1863.19161,1822.20139,1.34596
251721:3996,184:184,07/14/15 10:50:21,STABLE BEAMS,6500.,1843.33149,1802.77820,1.33162
251721:3996,185:185,07/14/15 10:50:44,STABLE BEAMS,6500.,1865.91888,1824.86866,1.34793
251721:3996,186:186,07/14/15 10:51:07,STABLE BEAMS,6500.,1888.31979,1844.88843,1.36411
251721:3996,187:187,07/14/15 10:51:31,STABLE BEAMS,6500.,1894.84659,1851.26512,1.36883
251721:3996,188:188,07/14/15 10:51:54,STABLE BEAMS,6500.,1897.29414,1855.55367,1.37060
251721:3996,189:189,07/14/15 10:52:17,STABLE BEAMS,6500.,1893.61116,1851.95171,1.36794
251721:3996,190:190,07/14/15 10:52:41,STABLE BEAMS,6500.,1893.93750,1852.27087,1.36817
251721:3996,191:191,07/14/15 10:53:04,STABLE BEAMS,6500.,1895.10300,1851.51563,1.36901
251721:3996,192:192,07/14/15 10:53:27,STABLE BEAMS,6500.,1885.59252,1842.22389,1.36214
251721:3996,193:193,07/14/15 10:53:51,STABLE BEAMS,6500.,1894.28715,1852.61283,1.36843
251721:3996,194:194,07/14/15 10:54:14,STABLE BEAMS,6500.,1890.25452,1848.66892,1.36551
251721:3996,195:195,07/14/15 10:54:37,STABLE BEAMS,6500.,1893.12165,1851.47297,1.36758
251721:3996,196:196,07/14/15 10:55:01,STABLE BEAMS,6500.,1876.15197,1834.87663,1.35532
251721:3996,197:197,07/14/15 10:55:24,STABLE BEAMS,6500.,1893.37806,1851.72374,1.36777
251721:3996,198:198,07/14/15 10:55:47,STABLE BEAMS,6500.,1900.46430,1858.65409,1.37289
251721:3996,199:199,07/14/15 10:56:11,STABLE BEAMS,6500.,1904.38038,1858.67525,1.37572
251721:3996,200:200,07/14/15 10:56:34,STABLE BEAMS,6500.,1903.40136,1861.52653,1.37501
251721:3996,201:201,07/14/15 10:56:57,STABLE BEAMS,6500.,1905.28947,1861.46781,1.37637
251721:3996,202:202,07/14/15 10:57:20,STABLE BEAMS,6500.,1888.87923,1845.43501,1.36452
251721:3996,203:203,07/14/15 10:57:44,STABLE BEAMS,6500.,1888.13331,1846.59438,1.36398
251721:3996,204:204,07/14/15 10:58:07,STABLE BEAMS,6500.,1863.56457,1822.56615,1.34623
251721:3996,205:205,07/14/15 10:58:30,STABLE BEAMS,6500.,1859.15898,1818.25748,1.34305
251721:3996,206:206,07/14/15 10:58:54,STABLE BEAMS,6500.,1872.39906,1831.20628,1.35261
251721:3996,207:207,07/14/15 10:59:17,STABLE BEAMS,6500.,1889.55522,1846.09545,1.36501
251721:3996,208:208,07/14/15 10:59:40,STABLE BEAMS,6500.,1907.17758,1865.21967,1.37774
251721:3996,209:209,07/14/15 11:00:04,STABLE BEAMS,6500.,1921.81626,1879.53630,1.38831
251721:3996,210:210,07/14/15 11:00:27,STABLE BEAMS,6500.,1932.37569,1889.86342,1.39594
251721:3996,211:211,07/14/15 11:00:50,STABLE BEAMS,6500.,1936.10529,1891.57487,1.39863
251721:3996,212:212,07/14/15 11:01:14,STABLE BEAMS,6500.,1940.06799,1897.38649,1.40150
251721:3996,213:213,07/14/15 11:01:37,STABLE BEAMS,6500.,1942.65540,1899.91698,1.40337
251721:3996,214:214,07/14/15 11:02:00,STABLE BEAMS,6500.,1944.21717,1899.50018,1.40449
251721:3996,215:215,07/14/15 11:02:23,STABLE BEAMS,6500.,1947.36402,1902.57465,1.40677
