Run:Fill,LS,UTCTime,Beam Status,E(GeV),Delivered(/ub),Recorded(/ub),avgPU
251721:3996,1:1,07/14/15 09:39:15,STABLE BEAMS,6500.,29470.57659,29028.51794,21.28943
251721:3996,2:2,07/14/15 09:39:38,STABLE BEAMS,6500.,29457.01017,29015.15502,21.27963
251721:3996,3:3,07/14/15 09:40:02,STABLE BEAMS,6500.,29444.84235,28944.28003,21.27084
251721:3996,4:4,07/14/15 09:40:25,STABLE BEAMS,6500.,29431.15938,28930.82967,21.26095
251721:3996,5:5,07/14/15 09:40:48,STABLE BEAMS,6500.,29419.62093,28919.48737,21.25262
251721:3996,6:6,07/14/15 09:41:11,STABLE BEAMS,6500.,29411.11278,28881.71275,21.24647
251721:3996,7:7,07/14/15 09:41:35,STABLE BEAMS,6500.,29392.51140,28863.44619,21.23303
251721:3996,8:8,07/14/15 09:41:58,STABLE BEAMS,6500.,29399.59764,28870.40488,21.23815
251721:3996,9:9,07/14/15 09:42:21,STABLE BEAMS,6500.,29371.20606,28842.52435,21.21764
251721:3996,10:10,07/14/15 09:42:45,STABLE BEAMS,6500.,29366.45082,28867.22116,21.21421
251721:3996,11:11,07/14/15 09:43:08,STABLE BEAMS,6500.,29362.93101,28863.76118,21.21167
251721:3996,12:12,07/14/15 09:43:31,STABLE BEAMS,6500.,29351.78883,28852.80842,21.20362
251721:3996,13:13,07/14/15 09:43:55,STABLE BEAMS,6500.,29338.73523,28839.97673,21.19419
251721:3996,14:14,07/14/15 09:44:18,STABLE BEAMS,6500.,29328.24573,28829.66555,21.18661
251721:3996,15:15,07/14/15 09:44:41,STABLE BEAMS,6500.,29325.51846,28826.98465,21.18464
251721:3996,16:16,07/14/15 09:45:05,STABLE BEAMS,6500.,29314.16649,28815.82566,21.17644
251721:3996,17:17,07/14/15 09:45:28,STABLE BEAMS,6500.,29301.50916,28803.38350,21.16729
251721:3996,18:18,07/14/15 09:45:51,STABLE BEAMS,6500.,29288.68866,28790.78095,21.15803
251721:3996,19:19,07/14/15 09:46:15,STABLE BEAMS,6500.,29279.71431,28781.95917,21.15155
251721:3996,20:20,07/14/15 09:46:38,STABLE BEAMS,6500.,29268.12924,28770.57104,21.14318
251721:3996,21:21,07/14/15 09:47:01,STABLE BEAMS,6500.,29256.12459,28758.77047,21.13451
251721:3996,22:22,07/14/15 09:47:24,STABLE BEAMS,6500.,29239.59780,28742.52464,21.12257
251721:3996,23:23,07/14/15 09:47:48,STABLE BEAMS,6500.,29229.50457,28732.60299,21.11528
251721:3996,24:24,07/14/15 09:48:11,STABLE BEAMS,6500.,29219.59782,28722.86466,21.10812
251721:3996,25:25,07/14/15 09:48:34,STABLE BEAMS,6500.,29207.56986,28711.04117,21.09943
251721:3996,26:26,07/14/15 09:48:58,STABLE BEAMS,6500.,29193.79365,28697.49916,21.08948
251721:3996,27:27,07/14/15 09:49:21,STABLE BEAMS,6500.,29186.52093,28690.35007,21.08423
251721:3996,28:28,07/14/15 09:49:44,STABLE BEAMS,6500.,29171.43936,28646.35345,21.07333
251721:3996,29:29,07/14/15 09:50:08,STABLE BEAMS,6500.,29160.36711,28664.64087,21.06533
251721:3996,30:30,07/14/15 09:50:31,STABLE BEAMS,6500.,29149.57458,28654.03181,21.05754
251721:3996,31:31,07/14/15 09:50:54,STABLE BEAMS,6500.,29134.72611,28639.43577,21.04681
251721:3996,32:32,07/14/15 09:51:18,STABLE BEAMS,6500.,29126.94057,28631.78258,21.04119
251721:3996,33:33,07/14/15 09:51:41,STABLE BEAMS,6500.,29108.43243,28613.58908,21.02782
251721:3996,34:34,07/14/15 09:52:04,STABLE BEAMS,6500.,29099.48139,28604.79021,21.02135
251721:3996,35:35,07/14/15 09:52:27,STABLE BEAMS,6500.,29086.96392,28592.48553,21.01231
251721:3996,36:36,07/14/15 09:52:51,STABLE BEAMS,6500.,29075.35554,28581.07450,21.00392
251721:3996,37:37,07/14/15 09:53:14,STABLE BEAMS,6500.,29067.50007,28573.35257,20.99825
251721:3996,38:38,07/14/15 09:53:37,STABLE BEAMS,6500.,29054.39985,28560.47505,20.98878
251721:3996,39:39,07/14/15 09:54:01,STABLE BEAMS,6500.,29043.63063,28549.88891,20.98100
251721:3996,40:40,07/14/15 09:54:24,STABLE BEAMS,6500.,29026.40454,28532.95566,20.96856
251721:3996,41:41,07/14/15 09:54:47,STABLE BEAMS,6500.,29020.22739,28526.88352,20.96410
251721:3996,42:42,07/14/15 09:55:11,STABLE BEAMS,6500.,29009.48148,28516.32029,20.95634
251721:3996,43:43,07/14/15 09:55:34,STABLE BEAMS,6500.,28987.66332,28494.87304,20.94057
251721:3996,44:44,07/14/15 09:55:57,STABLE BEAMS,6500.,28976.17149,28483.57657,20.93227
251721:3996,45:45,07/14/15 09:56:21,STABLE BEAMS,6500.,28968.12954,28475.67134,20.92646
251721:3996,46:46,07/14/15 09:56:44,STABLE BEAMS,6500.,28953.56079,28461.35026,20.91594
251721:3996,47:47,07/14/15 09:57:07,STABLE BEAMS,6500.,28938.52584,28446.57090,20.90508
251721:3996,48:48,07/14/15 09:57:30,STABLE BEAMS,6500.,28928.01303,28436.23681,20.89748
251721:3996,49:49,07/14/15 09:57:54,STABLE BEAMS,6500.,28920.69369,28400.12120,20.89220
251721:3996,50:50,07/14/15 09:58:17,STABLE BEAMS,6500.,28911.81258,28420.31177,20.88578
251721:3996,51:51,07/14/15 09:58:40,STABLE BEAMS,6500.,28898.19954,28406.93015,20.87595
251721:3996,52:52,07/14/15 09:59:04,STABLE BEAMS,6500.,28882.67508,28362.78693,20.86473
251721:3996,53:53,07/14/15 09:59:27,STABLE BEAMS,6500.,28874.14362,28383.28318,20.85857
251721:3996,54:54,07/14/15 09:59:50,STABLE BEAMS,6500.,28859.73804,28369.12249,20.84816
251721:3996,55:55,07/14/15 10:00:14,STABLE BEAMS,6500.,28850.01777,28359.56747,20.84114
251721:3996,56:56,07/14/15 10:00:37,STABLE BEAMS,6500.,28835.26254,28345.06308,20.83048
251721:3996,57:57,07/14/15 10:01:00,STABLE BEAMS,6500.,28826.26488,28336.21838,20.82398
251721:3996,58:58,07/14/15 10:01:24,STABLE BEAMS,6500.,28815.65883,28325.79263,20.81632
251721:3996,59:59,07/14/15 10:01:47,STABLE BEAMS,6500.,28800.57726,28282.16687,20.80542
251721:3996,60:60,07/14/15 10:02:10,STABLE BEAMS,6500.,28793.46771,28303.97876,20.80029
251721:3996,61:61,07/14/15 10:02:34,STABLE BEAMS,6500.,28784.84301,28295.50068,20.79406
251721:3996,62:62,07/14/15 10:02:57,STABLE BEAMS,6500.,28763.09478,28274.12217,20.77835
251721:3996,63:63,07/14/15 10:03:20,STABLE BEAMS,6500.,28748.54934,28259.82400,20.76784
251721:3996,64:64,07/14/15 10:03:44,STABLE BEAMS,6500.,28742.13909,28253.52273,20.76321
251721:3996,65:65,07/14/15 10:04:07,STABLE BEAMS,6500.,27081.04518,26566.50532,19.56324
251721:3996,66:66,07/14/15 10:04:30,STABLE BEAMS,6500.,28125.10008,27646.97338,20.31746
251721:3996,67:67,07/14/15 10:04:53,STABLE BEAMS,6500.,27179.27352,26717.22587,19.63420
251721:3996,68:68,07/14/15 10:05:17,STABLE BEAMS,6500.,27308.66733,26844.41999,19.72767
251721:3996,69:69,07/14/15 10:05:40,STABLE BEAMS,6500.,28668.85245,28181.48196,20.71027
251721:3996,70:70,07/14/15 10:06:03,STABLE BEAMS,6500.,28656.54477,28140.72696,20.70138
251721:3996,71:71,07/14/15 10:06:27,STABLE BEAMS,6500.,28643.16483,28156.23103,20.69171
251721:3996,72:72,07/14/15 10:06:50,STABLE BEAMS,6500.,28561.90617,28076.35377,20.63301
251721:3996,73:73,07/14/15 10:07:13,STABLE BEAMS,6500.,28523.70108,28038.79816,20.60541
251721:3996,74:74,07/14/15 10:07:37,STABLE BEAMS,6500.,28509.45867,28024.79787,20.59512
251721:3996,75:75,07/14/15 10:08:00,STABLE BEAMS,6500.,25627.29372,25191.62973,18.51306
251721:3996,76:76,07/14/15 10:08:23,STABLE BEAMS,6500.,7874.23455,7763.99527,5.68832
251721:3996,77:77,07/14/15 10:08:47,STABLE BEAMS,6500.,2671.02297,2636.29967,1.92954
251721:3996,78:78,07/14/15 10:09:10,STABLE BEAMS,6500.,2326.71096,2177.80146,1.68081
251721:3996,79:79,07/14/15 10:09:33,STABLE BEAMS,6500.,2012.49216,1986.32976,1.45382
251721:3996,80:80,07/14/15 10:09:56,STABLE BEAMS,6500.,1790.41779,1767.14236,1.29339
251721:3996,81:81,07/14/15 10:10:20,STABLE BEAMS,6500.,1754.40384,1731.59659,1.26737
251721:3996,82:82,07/14/15 10:10:43,STABLE BEAMS,6500.,1755.56934,1732.74694,1.26822
251721:3996,83:83,07/14/15 10:11:06,STABLE BEAMS,6500.,1753.75116,1730.95239,1.26690
251721:3996,84:84,07/14/15 10:11:30,STABLE BEAMS,6500.,1756.43181,1733.59820,1.26884
251721:3996,85:85,07/14/15 10:11:53,STABLE BEAMS,6500.,1758.97260,1736.10596,1.27067
251721:3996,86:86,07/14/15 10:12:16,STABLE BEAMS,6500.,1760.32458,1737.44036,1.27165
251721:3996,87:87,07/14/15 10:12:40,STABLE BEAMS,6500.,1759.34556,1736.47407,1.27094
251721:3996,88:88,07/14/15 10:13:03,STABLE BEAMS,6500.,1757.85372,1735.00162,1.26987
251721:3996,89:89,07/14/15 10:13:26,STABLE BEAMS,6500.,1755.17307,1732.35582,1.26793
251721:3996,90:90,07/14/15 10:13:50,STABLE BEAMS,6500.,1764.35721,1727.30571,1.27456
251721:3996,91:91,07/14/15 10:14:13,STABLE BEAMS,6500.,1766.01222,1730.69198,1.27576
251721:3996,92:92,07/14/15 10:14:36,STABLE BEAMS,6500.,1770.72084,1733.53570,1.27916
251721:3996,93:93,07/14/15 10:15:00,STABLE BEAMS,6500.,1774.68354,1739.18987,1.28202
251721:3996,94:94,07/14/15 10:15:23,STABLE BEAMS,6500.,1775.26629,1739.76096,1.28245
251721:3996,95:95,07/14/15 10:15:46,STABLE BEAMS,6500.,1774.96326,1741.23896,1.28223
251721:3996,96:96,07/14/15 10:16:09,STABLE BEAMS,6500.,1774.19403,1738.71015,1.28167
251721:3996,97:97,07/14/15 10:16:33,STABLE BEAMS,6500.,1775.42946,1739.92087,1.28256
251721:3996,98:98,07/14/15 10:16:56,STABLE BEAMS,6500.,1780.72083,1741.54497,1.28639
251721:3996,99:99,07/14/15 10:17:19,STABLE BEAMS,6500.,1785.17304,1747.68441,1.28960
251721:3996,100:100,07/14/15 10:17:43,STABLE BEAMS,6500.,1783.12176,1745.67620,1.28812
251721:3996,101:101,07/14/15 10:18:06,STABLE BEAMS,6500.,1783.54134,1744.30343,1.28842
251721:3996,102:102,07/14/15 10:18:29,STABLE BEAMS,6500.,1780.62759,1743.23441,1.28632
251721:3996,103:103,07/14/15 10:18:53,STABLE BEAMS,6500.,1770.95394,1733.76391,1.27933
251721:3996,104:104,07/14/15 10:19:16,STABLE BEAMS,6500.,1773.75114,1736.50237,1.28135
251721:3996,105:105,07/14/15 10:19:39,STABLE BEAMS,6500.,1775.35953,1738.07698,1.28251
251721:3996,106:106,07/14/15 10:20:03,STABLE BEAMS,6500.,1768.78611,1729.87282,1.27776
251721:3996,107:107,07/14/15 10:20:26,STABLE BEAMS,6500.,1748.83275,1710.35843,1.26335
251721:3996,108:108,07/14/15 10:20:49,STABLE BEAMS,6500.,1750.23135,1713.47649,1.26436
251721:3996,109:109,07/14/15 10:21:12,STABLE BEAMS,6500.,1751.32692,1712.79773,1.26515
251721:3996,110:110,07/14/15 10:21:36,STABLE BEAMS,6500.,1755.03321,1718.17751,1.26783
251721:3996,111:111,07/14/15 10:21:59,STABLE BEAMS,6500.,1772.11944,1733.13281,1.28017
251721:3996,112:112,07/14/15 10:22:22,STABLE BEAMS,6500.,1755.19638,1718.33726,1.26795
251721:3996,113:113,07/14/15 10:22:46,STABLE BEAMS,6500.,1760.18472,1723.22084,1.27155
251721:3996,114:114,07/14/15 10:23:09,STABLE BEAMS,6500.,1756.68822,1719.79777,1.26902
251721:3996,115:115,07/14/15 10:23:32,STABLE BEAMS,6500.,1755.84906,1718.97623,1.26842
251721:3996,116:116,07/14/15 10:23:56,STABLE BEAMS,6500.,1758.87936,1721.94289,1.27061
251721:3996,117:117,07/14/15 10:24:19,STABLE BEAMS,6500.,1757.99358,1719.31772,1.26997
251721:3996,118:118,07/14/15 10:24:42,STABLE BEAMS,6500.,1756.12878,1717.49395,1.26862
251721:3996,119:119,07/14/15 10:25:06,STABLE BEAMS,6500.,1757.71386,1720.80187,1.26977
251721:3996,120:120,07/14/15 10:25:29,STABLE BEAMS,6500.,1761.37353,1722.62331,1.27241
251721:3996,121:121,07/14/15 10:25:52,STABLE BEAMS,6500.,1765.70919,1725.09788,1.27554
251721:3996,122:122,07/14/15 10:26:16,STABLE BEAMS,6500.,1761.32691,1722.57772,1.27238
251721:3996,123:123,07/14/15 10:26:39,STABLE BEAMS,6500.,1759.85838,1722.90135,1.27131
251721:3996,124:124,07/14/15 10:27:02,STABLE BEAMS,6500.,1762.35255,1725.34315,1.27312
251721:3996,125:125,07/14/15 10:27:26,STABLE BEAMS,6500.,1759.34556,1722.39930,1.27094
251721:3996,126:126,07/14/15 10:27:49,STABLE BEAMS,6500.,1763.72784,1726.68956,1.27411
251721:3996,127:127,07/14/15 10:28:12,STABLE BEAMS,6500.,1761.83973,1724.84110,1.27275
251721:3996,128:128,07/14/15 10:28:35,STABLE BEAMS,6500.,1746.24534,1709.57419,1.26148
251721:3996,129:129,07/14/15 10:28:59,STABLE BEAMS,6500.,1744.56702,1706.18655,1.26027
251721:3996,130:130,07/14/15 10:29:22,STABLE BEAMS,6500.,1746.45513,1709.77957,1.26163
251721:3996,131:131,07/14/15 10:29:45,STABLE BEAMS,6500.,1756.85139,1718.20066,1.26914
251721:3996,132:132,07/14/15 10:30:09,STABLE BEAMS,6500.,1749.25233,1710.76878,1.26365
251721:3996,133:133,07/14/15 10:30:32,STABLE BEAMS,6500.,1745.96562,1707.55438,1.26128
251721:3996,134:134,07/14/15 10:30:55,STABLE BEAMS,6500.,1745.35956,1708.70701,1.26084
251721:3996,135:135,07/14/15 10:31:19,STABLE BEAMS,6500.,1753.33158,1714.75829,1.26660
251721:3996,136:136,07/14/15 10:31:42,STABLE BEAMS,6500.,1784.14740,1746.68030,1.28886
251721:3996,137:137,07/14/15 10:32:05,STABLE BEAMS,6500.,1785.10311,1747.61594,1.28955
251721:3996,138:138,07/14/15 10:32:29,STABLE BEAMS,6500.,1785.61593,1748.11800,1.28992
251721:3996,139:139,07/14/15 10:32:52,STABLE BEAMS,6500.,1789.55532,1750.18510,1.29277
251721:3996,140:140,07/14/15 10:33:15,STABLE BEAMS,6500.,1788.52968,1750.97056,1.29203
251721:3996,141:141,07/14/15 10:33:38,STABLE BEAMS,6500.,1790.93061,1751.53014,1.29376
251721:3996,142:142,07/14/15 10:34:02,STABLE BEAMS,6500.,1795.28958,1753.99792,1.29691
251721:3996,143:143,07/14/15 10:34:25,STABLE BEAMS,6500.,1794.28725,1754.81293,1.29619
251721:3996,144:144,07/14/15 10:34:48,STABLE BEAMS,6500.,1796.78142,1757.25223,1.29799
251721:3996,145:145,07/14/15 10:35:12,STABLE BEAMS,6500.,1796.43177,1756.91027,1.29774
251721:3996,146:146,07/14/15 10:35:35,STABLE BEAMS,6500.,1800.25461,1762.44926,1.30050
251721:3996,147:147,07/14/15 10:35:58,STABLE BEAMS,6500.,1795.12641,1755.63363,1.29679
251721:3996,148:148,07/14/15 10:36:22,STABLE BEAMS,6500.,1760.11479,1723.15238,1.27150
251721:3996,149:149,07/14/15 10:36:45,STABLE BEAMS,6500.,1778.08680,1738.96889,1.28448
251721:3996,150:150,07/14/15 10:37:08,STABLE BEAMS,6500.,1771.32690,1732.35771,1.27960
